0.000000	0.000000	n-001
3.000000	3.000000	n-002
7.000000	7.000000	n-004
9.000000	9.000000	n-028
12.000000	12.000000	n-029
14.000000	14.000000	n-002
19.000000	19.000000	n-003
23.000000	23.000000	n-005
28.000000	28.000000	n-006
31.000000	31.000000	n-008
36.000000	36.000000	n-009
39.000000	39.000000	n-027
42.000000	42.000000	n-029
44.000000	44.000000	n-008
49.000000	49.000000	n-010
52.000000	52.000000	n-027
57.000000	57.000000	n-029
59.000000	59.000000	n-005
60.000000	60.000000	n-007
61.000000	61.000000	n-011
62.000000	62.000000	n-012
63.000000	63.000000	n-027
64.000000	64.000000	n-029
65.000000	65.000000	n-011
66.000000	66.000000	n-013
67.000000	67.000000	n-014
68.000000	68.000000	n-015
69.000000	69.000000	n-017
70.000000	70.000000	n-019
71.000000	71.000000	n-023
72.000000	72.000000	n-028
73.000000	73.000000	n-029
74.000000	74.000000	n-017
75.000000	75.000000	n-020
76.000000	76.000000	n-024
77.000000	77.000000	n-028
78.000000	78.000000	n-029
79.000000	79.000000	n-014
80.000000	80.000000	n-016
81.000000	81.000000	n-018
82.000000	82.000000	n-021
83.000000	83.000000	n-025
84.000000	84.000000	n-028
85.000000	85.000000	n-029
86.000000	86.000000	n-018
87.000000	87.000000	n-022
88.000000	88.000000	n-026
89.000000	89.000000	n-028
90.000000	90.000000	n-029
